run_nr,nr_inputs,chromium_reject-firefox_reject,chromium_success-firefox_success
0,1,1,0
1,2,2,0
2,3,3,0
3,4,3,1.0
4,5,4,1.0
5,6,5,1.0
6,7,5,2.0
7,8,6,2.0
8,9,7,2.0
9,10,8,2.0
10,11,8,3.0
11,12,8,4.0
12,13,9,4.0
13,14,10,4.0
14,15,11,4.0
15,16,11,5.0
16,17,11,6.0
17,18,11,7.0
18,19,12,7.0
19,20,12,8.0
20,21,12,9.0
21,22,12,10.0
22,23,12,11.0
23,24,13,11.0
24,25,13,12.0
25,26,14,12.0
26,27,14,13.0
27,28,14,14.0
28,29,15,14.0
29,30,15,15.0
30,31,16,15.0
31,32,17,15.0
32,33,17,16.0
33,34,17,17.0
34,35,17,18.0
35,36,17,19.0
36,37,17,20.0
37,38,17,21.0
38,39,17,22.0
39,40,17,23.0
40,41,17,24.0
41,42,17,25.0
42,43,17,26.0
43,44,18,26.0
44,45,18,27.0
45,46,18,28.0
46,47,18,29.0
47,48,19,29.0
48,49,20,29.0
49,50,20,30.0
50,51,21,30.0
51,52,21,31.0
52,53,22,31.0
53,54,23,31.0
54,55,24,31.0
55,56,24,32.0
56,57,24,33.0
57,58,25,33.0
58,59,25,34.0
59,60,25,35.0
60,61,25,36.0
61,62,25,37.0
62,63,25,38.0
63,64,25,39.0
64,65,25,40.0
65,66,26,40.0
66,67,26,41.0
67,68,27,41.0
68,69,27,42.0
69,70,27,43.0
70,71,28,43.0
71,72,28,44.0
72,73,29,44.0
73,74,29,45.0
74,75,29,46.0
75,76,30,46.0
76,77,30,47.0
77,78,31,47.0
78,79,31,48.0
79,80,32,48.0
80,81,32,49.0
81,82,33,49.0
82,83,34,49.0
83,84,34,50.0
84,85,34,51.0
85,86,34,52.0
86,87,34,53.0
87,88,35,53.0
88,89,35,54.0
89,90,35,55.0
90,91,36,55.0
91,92,36,56.0
92,93,37,56.0
93,94,37,57.0
94,95,37,58.0
95,96,37,59.0
96,97,37,60.0
97,98,37,61.0
98,99,37,62.0
99,100,38,62.0
